site,impl,n,procs,threads,dist,chunk,run,rank,compute,count
caas-2node,mpi,6000000,8,1,block,1024,1,0,0.053093,60238
caas-2node,mpi,6000000,8,1,block,1024,1,1,0.086505,53917
caas-2node,mpi,6000000,8,1,block,1024,1,2,0.106788,51926
caas-2node,mpi,6000000,8,1,block,1024,1,3,0.122542,50735
caas-2node,mpi,6000000,8,1,block,1024,1,4,0.135975,49901
caas-2node,mpi,6000000,8,1,block,1024,1,5,0.148063,49231
caas-2node,mpi,6000000,8,1,block,1024,1,6,0.158271,48737
caas-2node,mpi,6000000,8,1,block,1024,1,7,0.170938,48164
caas-2node,mpi,6000000,8,1,block,1024,2,0,0.053161,60238
caas-2node,mpi,6000000,8,1,block,1024,2,1,0.086534,53917
caas-2node,mpi,6000000,8,1,block,1024,2,2,0.106646,51926
caas-2node,mpi,6000000,8,1,block,1024,2,3,0.122398,50735
caas-2node,mpi,6000000,8,1,block,1024,2,4,0.136071,49901
caas-2node,mpi,6000000,8,1,block,1024,2,5,0.147646,49231
caas-2node,mpi,6000000,8,1,block,1024,2,6,0.158352,48737
caas-2node,mpi,6000000,8,1,block,1024,2,7,0.167814,48164
caas-2node,mpi,6000000,8,1,block,1024,3,0,0.053048,60238
caas-2node,mpi,6000000,8,1,block,1024,3,1,0.086483,53917
caas-2node,mpi,6000000,8,1,block,1024,3,2,0.106663,51926
caas-2node,mpi,6000000,8,1,block,1024,3,3,0.122464,50735
caas-2node,mpi,6000000,8,1,block,1024,3,4,0.135991,49901
caas-2node,mpi,6000000,8,1,block,1024,3,5,0.147543,49231
caas-2node,mpi,6000000,8,1,block,1024,3,6,0.158552,48737
caas-2node,mpi,6000000,8,1,block,1024,3,7,0.172681,48164
caas-2node,mpi,6000000,8,1,cyclic,1024,1,0,0.122257,51583
caas-2node,mpi,6000000,8,1,cyclic,1024,1,1,0.122266,51603
caas-2node,mpi,6000000,8,1,cyclic,1024,1,2,0.122264,51596
caas-2node,mpi,6000000,8,1,cyclic,1024,1,3,0.122434,51551
caas-2node,mpi,6000000,8,1,cyclic,1024,1,4,0.123173,51689
caas-2node,mpi,6000000,8,1,cyclic,1024,1,5,0.122839,51639
caas-2node,mpi,6000000,8,1,cyclic,1024,1,6,0.122917,51649
caas-2node,mpi,6000000,8,1,cyclic,1024,1,7,0.122766,51539
caas-2node,mpi,6000000,8,1,cyclic,1024,2,0,0.122234,51583
caas-2node,mpi,6000000,8,1,cyclic,1024,2,1,0.122259,51603
caas-2node,mpi,6000000,8,1,cyclic,1024,2,2,0.122254,51596
caas-2node,mpi,6000000,8,1,cyclic,1024,2,3,0.122527,51551
caas-2node,mpi,6000000,8,1,cyclic,1024,2,4,0.122663,51689
caas-2node,mpi,6000000,8,1,cyclic,1024,2,5,0.122895,51639
caas-2node,mpi,6000000,8,1,cyclic,1024,2,6,0.122702,51649
caas-2node,mpi,6000000,8,1,cyclic,1024,2,7,0.122668,51539
caas-2node,mpi,6000000,8,1,cyclic,1024,3,0,0.122806,51583
caas-2node,mpi,6000000,8,1,cyclic,1024,3,1,0.122270,51603
caas-2node,mpi,6000000,8,1,cyclic,1024,3,2,0.122382,51596
caas-2node,mpi,6000000,8,1,cyclic,1024,3,3,0.122462,51551
caas-2node,mpi,6000000,8,1,cyclic,1024,3,4,0.123228,51689
caas-2node,mpi,6000000,8,1,cyclic,1024,3,5,0.122735,51639
caas-2node,mpi,6000000,8,1,cyclic,1024,3,6,0.124461,51649
caas-2node,mpi,6000000,8,1,cyclic,1024,3,7,0.122426,51539
caas-2node,mpi,6000000,8,1,blockcyclic,1024,1,0,0.122371,51533
caas-2node,mpi,6000000,8,1,blockcyclic,1024,1,1,0.124046,51513
caas-2node,mpi,6000000,8,1,blockcyclic,1024,1,2,0.122340,51653
caas-2node,mpi,6000000,8,1,blockcyclic,1024,1,3,0.122604,51529
caas-2node,mpi,6000000,8,1,blockcyclic,1024,1,4,0.122562,51578
caas-2node,mpi,6000000,8,1,blockcyclic,1024,1,5,0.192962,51636
caas-2node,mpi,6000000,8,1,blockcyclic,1024,1,6,0.132966,51714
caas-2node,mpi,6000000,8,1,blockcyclic,1024,1,7,0.123234,51693
caas-2node,mpi,6000000,8,1,blockcyclic,1024,2,0,0.122657,51533
caas-2node,mpi,6000000,8,1,blockcyclic,1024,2,1,0.122857,51513
caas-2node,mpi,6000000,8,1,blockcyclic,1024,2,2,0.122874,51653
caas-2node,mpi,6000000,8,1,blockcyclic,1024,2,3,0.122655,51529
caas-2node,mpi,6000000,8,1,blockcyclic,1024,2,4,0.122935,51578
caas-2node,mpi,6000000,8,1,blockcyclic,1024,2,5,0.123466,51636
caas-2node,mpi,6000000,8,1,blockcyclic,1024,2,6,0.123385,51714
caas-2node,mpi,6000000,8,1,blockcyclic,1024,2,7,0.123516,51693
caas-2node,mpi,6000000,8,1,blockcyclic,1024,3,0,0.123561,51533
caas-2node,mpi,6000000,8,1,blockcyclic,1024,3,1,0.124220,51513
caas-2node,mpi,6000000,8,1,blockcyclic,1024,3,2,0.124224,51653
caas-2node,mpi,6000000,8,1,blockcyclic,1024,3,3,0.124650,51529
