site,impl,n,procs,threads,dist,chunk,sched,sched_chunk,run,total,bcast,comp_max,comp_min,comp_avg,gather,merge,write,count,wall
caas-2node,hybrid,4000000,4,4,blockcyclic,1024,dynamic,64,2,0.070896,0.000037,0.053034,0.040799,0.045752,0.020882,0.002033,0.006853,283146,0.508066
caas-2node,hybrid,4000000,4,4,blockcyclic,1024,dynamic,64,3,0.070251,0.000033,0.050970,0.040629,0.044552,0.020252,0.002154,0.007018,283146,0.507205
caas-2node,hybrid,4000000,4,4,blockcyclic,1024,guided,64,1,0.068731,0.000030,0.047028,0.045854,0.046451,0.014769,0.001989,0.006020,283146,0.505064
caas-2node,hybrid,4000000,4,4,blockcyclic,1024,guided,64,2,0.070761,0.000031,0.048938,0.045743,0.046713,0.015479,0.002187,0.007043,283146,0.512756
caas-2node,hybrid,4000000,4,4,blockcyclic,1024,guided,64,3,0.071034,0.000042,0.048768,0.046126,0.046919,0.015340,0.002285,0.007146,283146,0.521777
caas-2node,hybrid,6000000,4,4,blockcyclic,1024,static,64,1,0.133632,0.000033,0.106438,0.070085,0.086838,0.051120,0.003004,0.009390,412849,0.571753
caas-2node,hybrid,6000000,4,4,blockcyclic,1024,static,64,2,0.114755,0.000030,0.084676,0.070242,0.077435,0.031514,0.002908,0.010000,412849,0.553194
caas-2node,hybrid,6000000,4,4,blockcyclic,1024,static,64,3,0.114829,0.000032,0.086720,0.069940,0.078049,0.032512,0.003006,0.009135,412849,0.551074
caas-2node,hybrid,6000000,4,4,blockcyclic,1024,dynamic,64,1,0.111526,0.000041,0.081066,0.070480,0.075759,0.024501,0.003020,0.010035,412849,0.542426
caas-2node,hybrid,6000000,4,4,blockcyclic,1024,dynamic,64,2,0.109085,0.000032,0.080978,0.070162,0.072910,0.026747,0.002826,0.009319,412849,0.544214
caas-2node,hybrid,6000000,4,4,blockcyclic,1024,dynamic,64,3,0.104226,0.000033,0.075144,0.070169,0.072781,0.021122,0.003047,0.009855,412849,0.542221
caas-2node,hybrid,6000000,4,4,blockcyclic,1024,guided,64,1,0.108069,0.000028,0.082142,0.066293,0.073154,0.029414,0.002933,0.009401,412849,0.549074
caas-2node,hybrid,6000000,4,4,blockcyclic,1024,guided,64,2,0.130042,0.000031,0.099682,0.066208,0.074780,0.049877,0.002964,0.010963,412849,0.567498
caas-2node,hybrid,6000000,4,4,blockcyclic,1024,guided,64,3,0.106561,0.000031,0.076540,0.066561,0.071592,0.026898,0.003058,0.010012,412849,0.543950
caas-2node,hybrid,8000000,4,4,blockcyclic,1024,static,64,1,0.182958,0.000031,0.145444,0.103633,0.124055,0.063672,0.002930,0.012649,539777,0.618177
caas-2node,hybrid,8000000,4,4,blockcyclic,1024,static,64,2,0.169144,0.000031,0.144067,0.103937,0.120130,0.048250,0.002970,0.013568,539777,0.598453
caas-2node,hybrid,8000000,4,4,blockcyclic,1024,static,64,3,0.140425,0.000032,0.104587,0.104101,0.104312,0.020358,0.003014,0.012920,539777,0.590958
caas-2node,hybrid,8000000,4,4,blockcyclic,1024,dynamic,64,1,0.164781,0.000030,0.128887,0.103666,0.117460,0.046015,0.002941,0.012130,539777,0.603954
caas-2node,hybrid,8000000,4,4,blockcyclic,1024,dynamic,64,2,0.161141,0.000033,0.125484,0.103804,0.114627,0.040959,0.003142,0.013167,539777,0.604306
caas-2node,hybrid,8000000,4,4,blockcyclic,1024,dynamic,64,3,0.164072,0.000031,0.134494,0.103743,0.118096,0.045697,0.002974,0.011541,539777,0.605523
caas-2node,hybrid,8000000,4,4,blockcyclic,1024,guided,64,1,0.157488,0.000032,0.122593,0.102849,0.111250,0.038467,0.003104,0.013036,539777,0.597856
caas-2node,hybrid,8000000,4,4,blockcyclic,1024,guided,64,2,0.158689,0.000028,0.121955,0.102991,0.111157,0.039806,0.002901,0.012964,539777,0.598187
caas-2node,hybrid,8000000,4,4,blockcyclic,1024,guided,64,3,0.203392,0.000035,0.177098,0.102776,0.121548,0.085405,0.002992,0.012186,539777,0.649408
caas-2node,hybrid,10000000,4,4,blockcyclic,1024,static,64,1,0.251717,0.000041,0.211248,0.146411,0.174669,0.078411,0.003808,0.015740,664579,0.684463
