site,impl,n,procs,threads,dist,chunk,run,rank,compute,count
ryzen7535hs,mpi_sieve,500000000,4,1,block,1024,3,3,0.463785,6284113
ryzen7535hs,mpi_sieve,500000000,5,1,block,1024,3,0,0.358390,5761455
ryzen7535hs,mpi_sieve,500000000,5,1,block,1024,3,1,0.352839,5317482
ryzen7535hs,mpi_sieve,500000000,5,1,block,1024,3,2,0.353467,5173388
ryzen7535hs,mpi_sieve,500000000,5,1,block,1024,3,3,0.351508,5084001
ryzen7535hs,mpi_sieve,500000000,5,1,block,1024,3,4,0.354351,5019541
ryzen7535hs,mpi_sieve,500000000,6,1,block,1024,3,0,0.364413,4852499
ryzen7535hs,mpi_sieve,500000000,6,1,block,1024,3,1,0.360976,4474503
ryzen7535hs,mpi_sieve,500000000,6,1,block,1024,3,2,0.371597,4352316
ryzen7535hs,mpi_sieve,500000000,6,1,block,1024,3,3,0.343058,4275961
ryzen7535hs,mpi_sieve,500000000,6,1,block,1024,3,4,0.375411,4221564
ryzen7535hs,mpi_sieve,500000000,6,1,block,1024,3,5,0.370523,4179024
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,3,0,0.299630,4197106
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,3,1,0.297206,3867302
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,3,2,0.327248,3760477
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,3,3,0.329404,3694601
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,3,4,0.297149,3646840
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,3,5,0.325092,3609987
ryzen7535hs,mpi_sieve,500000000,7,1,block,1024,3,6,0.315934,3579554
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,3,0,0.243169,3701487
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,3,1,0.223505,3408655
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,3,2,0.245777,3314265
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,3,3,0.228816,3254911
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,3,4,0.259611,3212954
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,3,5,0.258652,3179482
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,3,6,0.228981,3153228
ryzen7535hs,mpi_sieve,500000000,8,1,block,1024,3,7,0.263795,3130885
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,3,0,0.597103,3296072
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,3,1,0.581263,3294233
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,3,2,0.596360,3292513
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,3,3,0.608121,3294073
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,3,4,0.619731,3294503
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,3,5,0.599502,3294966
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,3,6,0.628127,3294921
ryzen7535hs,mpi_sieve,500000000,8,1,blockcyclic,1024,3,7,0.606019,3294586
